"session_id","nama_sesi","kategori","level_sesi","durasi_label","youtube_id","judul_video","channel","durasi_asli_detik","embeddable","d1_kategori","d2_level","d3_durasi","d4_format","d5_teknis","d6_bahasa","verdict","alasan_utama","bukti_kutipan"
"fn4","Functional Core","functional","Menengah (tanpa sinyal nama)","20 menit","U2dc3Z4ebjE","functional core workout | 20 minutes","TIDAK_BISA_DICEK (no API)","~1200 (dari judul)","TIDAK_BISA_DICEK","COCOK","TIDAK_BISA_DICEK","COCOK","COCOK","TIDAK_BISA_DICEK","TIDAK_BISA_DICEK","REVIEW","Data tidak cukup: 3 dimensi TIDAK_BISA_DICEK (termasuk D5 teknis & D6 bahasa).","D1:""functional core workout"" persis (functional/core ✓) | D2:Tak ada sinyal level | D3:""20 minutes"" ≈ 20 menit | D4:""workout"" follow-along"
"fn5","Functional Mobility","functional","Pemula (mobility, low-intensity)","20 menit","5RCHc_lxNCY","20 MIN Full Body Mobility Routine // Follow Along","TIDAK_BISA_DICEK (no API)","~1200 (dari judul)","TIDAK_BISA_DICEK","COCOK","COCOK","COCOK","COCOK","TIDAK_BISA_DICEK","TIDAK_BISA_DICEK","LOLOS","Semua dimensi tercek COCOK; hanya D5/D6 (teknis/bahasa) tak terverifikasi (2 TBC).","D1:""Full Body Mobility Routine"" (mobility ✓) | D2:""Mobility Routine"" low-intensity cocok level pemula/recovery | D3:""20 MIN"" ≈ 20 menit | D4:""Follow Along"" eksplisit"
"yg3","Power Yoga","yoga","Menengah–Lanjutan (dari ""Power"")","30 menit","4gsXkph_lOg","30 Min Full Body Power Yoga | Build Muscle & Strength","TIDAK_BISA_DICEK (no API)","~1800 (dari judul)","TIDAK_BISA_DICEK","COCOK","COCOK","COCOK","COCOK","TIDAK_BISA_DICEK","TIDAK_BISA_DICEK","LOLOS","Semua dimensi tercek COCOK; hanya D5/D6 (teknis/bahasa) tak terverifikasi (2 TBC).","D1:""Power Yoga"" persis (yoga ✓) | D2:""Power Yoga | Build Muscle & Strength"" sinyal intensitas cocok menengah–lanjutan | D3:""30 Min"" ≈ 30 menit | D4:follow-along flow"
"yg4","Morning Yoga","yoga","Pemula (gentle morning)","10 menit","kq-UQWErr1o","10 min Morning Yoga Flow - Intention Setting","TIDAK_BISA_DICEK (no API)","~600 (dari judul)","TIDAK_BISA_DICEK","COCOK","TIDAK_BISA_DICEK","COCOK","COCOK","TIDAK_BISA_DICEK","TIDAK_BISA_DICEK","REVIEW","Data tidak cukup: 3 dimensi TIDAK_BISA_DICEK (termasuk D5 teknis & D6 bahasa).","D1:""Morning Yoga Flow"" persis (yoga ✓) | D2:Tak ada sinyal level eksplisit; ""morning ... intention"" cenderung gentle | D3:""10 min"" ≈ 10 menit | D4:""Flow"" follow-along"
"yg5","Restorative Yoga","yoga","Pemula (restorative, gentle)","20 menit","COn0QQeBPFI","20 Minute Restorative Yoga | Relax, Renew And Destress","TIDAK_BISA_DICEK (no API)","~1200 (dari judul)","TIDAK_BISA_DICEK","COCOK","COCOK","COCOK","COCOK","TIDAK_BISA_DICEK","TIDAK_BISA_DICEK","LOLOS","Semua dimensi tercek COCOK; hanya D5/D6 (teknis/bahasa) tak terverifikasi (2 TBC).","D1:""Restorative Yoga"" persis (yoga ✓) | D2:""Restorative ... Relax"" low-intensity cocok pemula/gentle | D3:""20 Minute"" ≈ 20 menit | D4:follow-along practice"
"yg6","Yoga for Back","yoga","Pemula (terapeutik, gentle)","20 menit","dbWcSrKUuWU","UNKNOWN","TIDAK_BISA_DICEK (no API)","","TIDAK_BISA_DICEK","ERROR","ERROR","ERROR","ERROR","TIDAK_BISA_DICEK","TIDAK_BISA_DICEK","ERROR","Metadata video tidak bisa diambil (ID tak muncul di WebSearch).","-"
"pl2","Pilates Core Burn","pilates","Menengah (dari ""Burn"")","20 menit","dF2dXejdKHM","20 MIN PILATES CORE & ABS WORKOUT || At-Home Pilates For All Levels","TIDAK_BISA_DICEK (no API)","~1200 (dari judul)","TIDAK_BISA_DICEK","COCOK","COCOK","COCOK","COCOK","TIDAK_BISA_DICEK","TIDAK_BISA_DICEK","LOLOS","Semua dimensi tercek COCOK; hanya D5/D6 (teknis/bahasa) tak terverifikasi (2 TBC).","D1:""PILATES CORE & ABS"" (pilates/core ✓) | D2:""For All Levels"" sinyal level eksplisit, kompatibel menengah | D3:""20 MIN"" ≈ 20 menit | D4:""WORKOUT"" follow-along"
"pl3","Pilates for Posture","pilates","Pemula–Menengah (postur, gentle)","20 menit","VW4d7Lqoz8Q","20 Min. Pilates Workout for Better Posture | Daily Routine for a Strong Back & Healthy Spine","TIDAK_BISA_DICEK (no API)","~1200 (dari judul)","TIDAK_BISA_DICEK","COCOK","TIDAK_BISA_DICEK","COCOK","COCOK","TIDAK_BISA_DICEK","TIDAK_BISA_DICEK","REVIEW","Data tidak cukup: 3 dimensi TIDAK_BISA_DICEK (termasuk D5 teknis & D6 bahasa).","D1:""Pilates Workout for Better Posture"" persis (pilates ✓) | D2:Tak ada sinyal level; ""Daily Routine"" netral | D3:""20 Min."" ≈ 20 menit | D4:""Workout ... Daily Routine"" follow-along"
"pl4","Pilates Full Body","pilates","Menengah (tanpa sinyal nama)","20 menit","354ezj2UHdM","20MIN full body pilates workout // DAY 1 CHALLENGE","TIDAK_BISA_DICEK (no API)","~1200 (dari judul)","TIDAK_BISA_DICEK","COCOK","TIDAK_BISA_DICEK","COCOK","MERAGUKAN","TIDAK_BISA_DICEK","TIDAK_BISA_DICEK","REVIEW","Data tidak cukup: 3 dimensi TIDAK_BISA_DICEK (termasuk D5 teknis & D6 bahasa).","D1:""full body pilates workout"" (pilates ✓) | D2:Tak ada sinyal level; ""DAY 1 CHALLENGE"" = bagian seri (lihat D4) | D3:""20MIN"" ≈ 20 menit | D4:""DAY 1 CHALLENGE"" → kemungkinan potongan program berseri, bukan sesi tunggal mandiri"
"ht2","HIIT Cardio Blast","hiit","Menengah (dari ""Blast"")","20 menit","1V3LgKFZ3dI","20 Min Fat Burning HIIT Workout - All Standing, No Jumping","TIDAK_BISA_DICEK (no API)","~1200 (dari judul)","TIDAK_BISA_DICEK","COCOK","MERAGUKAN","COCOK","COCOK","TIDAK_BISA_DICEK","TIDAK_BISA_DICEK","LOLOS","Semua dimensi tercek COCOK; hanya D5/D6 (teknis/bahasa) tak terverifikasi (2 TBC).","D1:""Fat Burning HIIT Workout"" (hiit ✓) | D2:Sesi ""Blast"" (menengah), tapi video ""All Standing, No Jumping"" = low-impact → intensitas mungkin lebih ringan dari kesan ""Blast"" | D3:""20 Min"" ≈ 20 menit | D4:""Workout"" follow-along"
"ht3","HIIT Lower Body","hiit","Menengah (HIIT)","30 menit","m2L5SMWDRV8","30 MIN KILLER Lower Body HIIT Workout - Legs and Glutes, No Repeat, No Equipment","TIDAK_BISA_DICEK (no API)","~1800 (dari judul)","TIDAK_BISA_DICEK","COCOK","COCOK","COCOK","COCOK","TIDAK_BISA_DICEK","TIDAK_BISA_DICEK","LOLOS","Semua dimensi tercek COCOK; hanya D5/D6 (teknis/bahasa) tak terverifikasi (2 TBC).","D1:""Lower Body HIIT Workout"" persis (hiit/lower ✓) | D2:""KILLER ... HIIT"" sinyal intensitas tinggi, cocok menengah+ | D3:""30 MIN"" ≈ 30 menit | D4:""Workout ... No Repeat"" follow-along"
"ht4","HIIT Express 20","hiit","Menengah (express)","20 menit","-hSma-BRzoo","20 Min Fat Burning HIIT Workout - Full body Cardio, No Equipment, No Repeat","TIDAK_BISA_DICEK (no API)","~1200 (dari judul)","TIDAK_BISA_DICEK","COCOK","TIDAK_BISA_DICEK","COCOK","COCOK","TIDAK_BISA_DICEK","TIDAK_BISA_DICEK","REVIEW","Data tidak cukup: 3 dimensi TIDAK_BISA_DICEK (termasuk D5 teknis & D6 bahasa).","D1:""Fat Burning HIIT Workout"" (hiit ✓) | D2:Tak ada sinyal level | D3:""20 Min"" ≈ 20 menit (cocok ""Express 20"") | D4:""Workout"" follow-along. CATATAN: judul nyaris identik dgn p8"
"st2","Upper Body Strength","strength","Menengah (tanpa sinyal nama)","30 menit","EIT5Mwf-h0A","30 Min COMPOUND UPPER BODY DUMBBELL WORKOUT | Follow Along","TIDAK_BISA_DICEK (no API)","~1800 (dari judul)","TIDAK_BISA_DICEK","COCOK","TIDAK_BISA_DICEK","COCOK","COCOK","TIDAK_BISA_DICEK","TIDAK_BISA_DICEK","REVIEW","Data tidak cukup: 3 dimensi TIDAK_BISA_DICEK (termasuk D5 teknis & D6 bahasa).","D1:""UPPER BODY DUMBBELL WORKOUT"" persis (strength/upper ✓) | D2:Tak ada sinyal level; ""COMPOUND"" isyaratkan bukan-pemula tapi lemah | D3:""30 Min"" ≈ 30 menit | D4:""Follow Along"" eksplisit"
"st3","Lower Body Strength","strength","Menengah (tanpa sinyal nama)","30 menit","J3-ZctFDCd0","30 Min Lower Body Dumbbell Workout | Build Strength (At Home)","TIDAK_BISA_DICEK (no API)","~1800 (dari judul)","TIDAK_BISA_DICEK","COCOK","TIDAK_BISA_DICEK","COCOK","COCOK","TIDAK_BISA_DICEK","TIDAK_BISA_DICEK","REVIEW","Data tidak cukup: 3 dimensi TIDAK_BISA_DICEK (termasuk D5 teknis & D6 bahasa).","D1:""Lower Body Dumbbell Workout | Build Strength"" persis (strength/lower ✓) | D2:Tak ada sinyal level | D3:""30 Min"" ≈ 30 menit | D4:""Workout"" follow-along"
"st4","Full Body Strength","strength","Menengah (tanpa sinyal nama)","30 menit","gsPbQYLP9_4","30 Min Full Body Strength Training at Home with Dumbbells","TIDAK_BISA_DICEK (no API)","~1800 (dari judul)","TIDAK_BISA_DICEK","COCOK","TIDAK_BISA_DICEK","COCOK","COCOK","TIDAK_BISA_DICEK","TIDAK_BISA_DICEK","REVIEW","Data tidak cukup: 3 dimensi TIDAK_BISA_DICEK (termasuk D5 teknis & D6 bahasa).","D1:""Full Body Strength Training"" persis (strength ✓) | D2:Tak ada sinyal level | D3:""30 Min"" ≈ 30 menit | D4:""Training at Home"" follow-along"
"st5","Dumbbell Strength","strength","Menengah (tanpa sinyal nama)","30 menit","AjAVhtQ2vok","30 Minute Full Body Dumbbell Strength Workout [NO REPEAT]","TIDAK_BISA_DICEK (no API)","~1800 (dari judul)","TIDAK_BISA_DICEK","COCOK","TIDAK_BISA_DICEK","COCOK","COCOK","TIDAK_BISA_DICEK","TIDAK_BISA_DICEK","REVIEW","Data tidak cukup: 3 dimensi TIDAK_BISA_DICEK (termasuk D5 teknis & D6 bahasa).","D1:""Dumbbell Strength Workout"" persis (strength ✓) | D2:Tak ada sinyal level | D3:""30 Minute"" ≈ 30 menit | D4:""Workout [NO REPEAT]"" follow-along"
